,Station1,Station1_Lat,Station1_Lon,Station2,Station2_Lat,Station2_Lon,velocity_period_1,velocity_period_2,velocity_period_3,velocity_period_4,velocity_period_5,velocity_period_6,velocity_period_7,velocity_period_8,velocity_period_9,velocity_period_10,velocity_period_11,velocity_period_12,velocity_period_13,velocity_period_14,velocity_period_15
169,CC.NFT,46.27,-122.25611,CC.TRON,46.9977,-122.1753,,,,,,,,,,,,,,,
170,CC.JRO,46.27527,-122.21826,UW.JUN,46.14706,-122.152428,,,,,,,,,,,,,,,
171,CC.GTWY,46.740208,-121.916966,UW.MAPLE,47.29191,-122.67061,,,,,,,,,,,,,,,
172,UW.LTY,47.25451,-120.66636,XU.E060,46.626499,-121.264503,,,,,,,,,,,,,,,
173,TA.C05A,47.694698,-121.689499,XU.BD11,47.305199,-121.965698,,,,,,,,,,,,,,,
174,CC.TAVI,46.7957,-121.88423,UW.RATT,47.42546,-121.80254,,,,,,,,,,,,,,,
175,CC.REM,46.2002,-122.1855,UW.ASR2,46.139699,-121.597405,,,,,2.5307741721854304,,,,,,,,,,
176,CC.STD,46.23749,-122.22421,XD.ME03,46.452068,-122.576469,,,,,,,,,,,,,,,
177,UW.ETW,47.60451,-120.33265,UW.TWW,47.13801,-120.86952,,,,,1.948388852637303,,,,,,,,,,
178,CC.OBSR,46.899719,-121.815331,UW.COWL,46.48204,-122.66461,,,,,2.05831328033246,,,,,,,,,,
179,UW.FL2,46.19622,-122.351486,UW.LTY,47.25451,-120.66636,,,,,2.2631754622496145,,,,,,,,,,
180,XD.MC06,46.552021,-122.157204,XD.MK12,46.113701,-121.363876,,,,,1.682975627830383,,,,,,,,,,
181,XD.MC06,46.552021,-122.157204,XD.ME04,46.450611,-122.351936,,,,,2.064086971830986,,,,,,,,,,
182,UW.SHW,46.19364,-122.23492,XD.MG10,46.344719,-121.658089,,,,,2.2503189477426235,,,,,,,,,,
183,UW.MOX,46.577004,-120.299609,XD.MK07,46.152699,-122.116768,,,,,,,,,,,,,,,
184,XD.MG05,46.305882,-122.341927,XD.MI08,46.253849,-121.97448,,,,,2.604440465116279,,,,,,,,,,
185,CC.MAR,46.28532,-122.29667,CC.SIFT,46.86683,-121.95329,,,,,3.173834565093803,,,,,,,,,,
